,n_components,explained_variance,reconstruction_error,Method,ARI,Purity,F-Measure,Davies-Bouldin Index,Silhouette Coefficient,Calinski,Solving Time,Iterations
0,1,0.24625992304764785,,Optics,0.0002711351125294951,0.9610079575596817,0.5706742383335195,3.8900040964994185,0.025518161007829932,65.80273745018438,2.3985021114349365,
1,2,0.42532765514948306,,Optics,-0.008085790766160054,0.9610079575596817,0.7141297641258763,1.0501613137495769,-0.23894642398678884,77.8872477397625,2.573190450668335,
2,3,0.5433832047976745,,Optics,-0.01671175438125273,0.9610079575596817,0.7273918525910646,1.1175869050472567,-0.23856447392088145,74.34909093927813,2.6358022689819336,
3,4,0.6205918942253911,,Optics,-0.004474997454814585,0.9610079575596817,0.7168474034410225,1.0050860270754753,-0.2269121545058442,78.67622446780413,2.605090856552124,
4,5,0.6817814046897939,,Optics,0.0015349774853345287,0.9610079575596817,0.732899852879361,1.046190519028302,-0.25050972722173814,69.72447662270403,2.7453906536102295,
5,6,0.7286236616672009,,Optics,0.0007629294205017889,0.9610079575596817,0.7080229478115786,1.0698124563324753,-0.17093325078675065,85.45574944287381,2.745572805404663,
6,7,0.7589152046911471,,Optics,-0.004315303166864955,0.9610079575596817,0.6992830511198105,1.0447407391368633,-0.16225056948879485,78.70149715174485,2.824185848236084,
7,8,0.7882251495859366,,Optics,0.00048800918178330826,0.9610079575596817,0.5547542499951824,1.0230426697693706,0.14416768548508707,149.75244084104705,2.8401966094970703,
8,9,0.8158176027272327,,Optics,0.0005411046561664715,0.9610079575596817,0.6503826681366289,1.0582106892633993,-0.042282150151840246,83.8338177082927,2.9026167392730713,
9,10,0.8414145411660805,,Optics,-0.008428259330371446,0.9610079575596817,0.7312731551197988,1.0251233631412975,-0.21541753770450298,61.57602390574994,2.839662790298462,
10,11,0.8629312798686171,,Optics,-0.005864788310176033,0.9610079575596817,0.6646190822415278,1.0045324229971122,-0.03514236071832838,91.33072618608733,2.6991307735443115,
11,12,0.8841510180286012,,Optics,-0.008485595158364875,0.9610079575596817,0.6849465137199223,1.0065490925910296,-0.05496332676211319,73.7227505658926,2.996396780014038,
12,13,0.9000135424371657,,Optics,-0.008006821385418547,0.9610079575596817,0.6956221742814885,1.055263378715524,-0.10627573794762185,64.88424281861055,2.933675527572632,
13,14,0.9132818357384062,,Optics,-0.016354411007966144,0.9610079575596817,0.7139202071947532,1.0801573490055842,-0.14884232468561515,57.610161319748244,3.090529680252075,
14,15,0.9246599461554073,,Optics,-0.015161967413872917,0.9610079575596817,0.7433660064400381,1.044866471572195,-0.19163818730095686,54.634702660869706,3.0587055683135986,
15,16,0.9336213711064072,,Optics,-0.004348929066002198,0.9610079575596817,0.7357359048165603,1.0645576812689042,-0.17447384005281866,59.71769158338332,3.0123815536499023,
16,17,0.9409526627714824,,Optics,-0.011968037047930303,0.9610079575596817,0.7542373371422625,1.0630447677128558,-0.21750805832312317,54.123605253886225,3.043600082397461,
17,18,0.9478310528597577,,Optics,-0.006645326303064429,0.9610079575596817,0.6923737359780154,1.090436095695241,-0.12336834362233173,65.39097532680819,3.0591671466827393,
18,19,0.9542194884993686,,Optics,-0.013489968459615129,0.9610079575596817,0.7499129593076392,1.071215046794989,-0.20598468769836056,57.62670229950693,3.294428586959839,
19,20,0.9602642678202862,,Optics,0.0063767921757746605,0.9628647214854111,0.6716214634257766,1.0970404993518912,-0.061836813723162666,79.37625207592417,3.2636678218841553,
20,21,0.9658986695815794,,Optics,0.00933810399986358,0.9625994694960213,0.6984128196589218,1.1374388006285556,-0.0997782834187913,74.94611670730377,3.436751365661621,
21,22,0.971322306843777,,Optics,0.01822835403531423,0.9628647214854111,0.7091617649366968,1.1217590964129998,-0.10497981686168405,75.89028847757184,3.374387741088867,
22,23,0.9765444357289638,,Optics,0.012849537599202487,0.9628647214854111,0.7598859009454578,1.0939451357616377,-0.18946630594384054,67.6238159081265,3.247087001800537,
23,24,0.9815702935773191,,Optics,0.014145568896156126,0.9628647214854111,0.8052938157895296,1.092206755757434,-0.2836970680568164,54.04827110160139,3.5457305908203125,
24,25,0.9857522872628227,,Optics,0.010865107655585486,0.9628647214854111,0.7150612964547008,1.1079206054969946,-0.11057439424439149,79.04256916951768,3.1533467769622803,
25,26,0.9888780518927826,,Optics,0.004989111820244097,0.9628647214854111,0.4923897099414836,1.279915474007901,0.2634206921974363,136.43821386527918,3.7492706775665283,
26,27,0.9913704697639028,,Optics,0.0066665128457777546,0.9628647214854111,0.47934047587293593,1.2886090358329472,0.26678039055902003,135.23241037496348,3.341001033782959,
27,28,0.9935864713399436,,Optics,0.00494410267775409,0.9628647214854111,0.4469061135898016,1.3061499828390424,0.30011957472501116,148.5156498620393,3.718043088912964,
28,29,0.9955690600761884,,Optics,0.004081286278231631,0.9625994694960213,0.4185034570851798,1.3271308955254415,0.3315300358214703,161.961765558258,3.3563504219055176,
29,30,0.9970313066653815,,Optics,0.004579383267484501,0.9628647214854111,0.4224180713613417,1.316887274675517,0.3286914152461787,163.51665113746895,3.6403067111968994,
30,31,0.9981506002514782,,Optics,0.001301168933197348,0.9628647214854111,0.45251598080347044,1.3133010013433175,0.28318318061598213,142.53255715751257,3.6621177196502686,
31,32,0.9990973689277987,,Optics,0.001996178897758555,0.9623342175066313,0.4762765905353293,1.3001924381661063,0.26340274897386196,132.61409669730546,3.401834011077881,
32,33,0.9999999999999997,,Optics,0.0005663283849147387,0.9620689655172414,0.42007580261593336,1.3336045965289902,0.3332965893864785,155.2427154396389,3.350637435913086,
